,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4282,4282,4282,4282,4282,General debate,A_69_PV.11_E, 2014-09-25 ,Benkirane,Morocco,Abdelilah  Benkirane,MAR,Head of Government of the Kingdom of Morocco
4283,4283,4283,4283,4283,General debate,A_69_PV.11_E, 2014-09-25 ,Solberg,Norway,Erna  Solberg,NOR,Prime Minister of the Kingdom of Norway
4284,4284,4284,4284,4284,General debate,A_69_PV.11_E, 2014-09-25 ,Gusmao,Timor-Leste,José Xanana  Gusmao,TLS,Prime Minister of the Democratic Republic of Timor-Leste
4285,4285,4285,4285,4285,General debate,A_69_PV.11_E, 2014-09-25 ,Rasulzoda,Tajikistan,Qohir  Rasulzoda,TJK,Prime Minister of the Republic of Tajikistan
4286,4286,4286,4286,4286,General debate,A_69_PV.11_E, 2014-09-25 ,Rutte,Netherlands,Mark  Rutte,NLD,Prime Minister and Minister for General Affairs of the Kingdom of the Netherlands
4287,4287,4287,4287,4287,General debate,A_69_PV.11_E, 2014-09-25 ,Harper,Canada,Stephen  Harper,CAN,Prime Minister of Canada
4288,4288,4288,4288,4288,General debate,A_69_PV.11_E, 2014-09-25 ,Kikwete,United Republic of Tanzania,Jakaya  Kikwete,TZA,President of the United Republic of Tanzania
4289,4289,4289,4289,4289,General debate,A_69_PV.11_E, 2014-09-25 ,Remengesau,Palau,Thomas Esang  Remengesau,PLW,
4290,4290,4290,4290,4290,General debate,A_69_PV.11_E, 2014-09-25 ,Waqa,Nauru,Baron Divavesi  Waqa,NRU,President of the Republic of Nauru
4291,4291,4291,4291,4291,General debate,A_69_PV.11_E, 2014-09-25 ,Mutharika,Malawi,Arthur Peter  Mutharika,MWI,President of the Republic of Malawi 
4261,4261,4261,4261,4261,General debate,A_69_PV.12_E, 2014-09-26 ,Razak,Malaysia,Mohd Najib Tun Abdul  Razak,MYS,Prime Minister of Malaysia
4262,4262,4262,4262,4262,General debate,A_69_PV.12_E, 2014-09-26 ,Salam,Lebanon,Tammam  Salam,LBN,President of the Council of Ministers of the Lebanese Republic
4263,4263,4263,4263,4263,General debate,A_69_PV.12_E, 2014-09-26 ,Muscat,Malta,Joseph  Muscat,MLT,Prime Minister of the Republic of Malta
4264,4264,4264,4264,4264,General debate,A_69_PV.12_E, 2014-09-26 ,Sharif,Pakistan,Muhammad Nawaz  Sharif,PAK,Prime Minister of the Islamic Republic of Pakistan
4265,4265,4265,4265,4265,General debate,A_69_PV.12_E, 2014-09-26 ,Bettel,Luxembourg,Xavier  Bettel,LUX,Prime Minister
4266,4266,4266,4266,4266,General debate,A_69_PV.12_E, 2014-09-26 ,Masum,Iraq,Mohammed Fuad  Masum,IRQ,President of the Republic of Iraq
4267,4267,4267,4267,4267,General debate,A_69_PV.12_E, 2014-09-26 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister and Minister for Foreign Affairs and Trade of the Independent State of Samoa
4268,4268,4268,4268,4268,General debate,A_69_PV.12_E, 2014-09-26 ,Radmanovic,Bosnia and Herzegovina,Nebojsa  Radmanovic,BIH,Member of the Presidency of Bosnia and Herzegovina
4269,4269,4269,4269,4269,General debate,A_69_PV.12_E, 2014-09-26 ,Abbas,State of Palestine,Mahmoud  Abbas,PSE,President of the State of Palestine
4270,4270,4270,4270,4270,General debate,A_69_PV.12_E, 2014-09-26 ,Sassou N'Guesso,Congo,Denis  Sassou N'Guesso,COG,President of the Republic of the Congo
4271,4271,4271,4271,4271,General debate,A_69_PV.12_E, 2014-09-26 ,Sánchez Cerén,El Salvador,Salvador  Sánchez Cerén,SLV,President of the Republic of El Salvador
4272,4272,4272,4272,4272,General debate,A_69_PV.12_E, 2014-09-26 ,Condé,Guinea,Alpha  Condé,GIN,President of the Republic of Guinea
4273,4273,4273,4273,4273,General debate,A_69_PV.12_E, 2014-09-26 ,Pahor,Slovenia,Borut  Pahor,SVN,President of the Republic of Slovenia
4274,4274,4274,4274,4274,General debate,A_69_PV.12_E, 2014-09-26 ,Ouattara,Côte d'Ivoire,Alassane Dramane  Ouattara,Côte d'Ivoire,President of the Republic of Cote dIvoire
4275,4275,4275,4275,4275,General debate,A_69_PV.12_E, 2014-09-26 ,Grybauskaite,Lithuania,Dalia  Grybauskaite,LTU,President of the Republic of Lithuania
4276,4276,4276,4276,4276,General debate,A_69_PV.12_E, 2014-09-26 ,Anastasiades,Cyprus,Nicos  Anastasiades,CYP,President of the Republic of Cyprus
4277,4277,4277,4277,4277,General debate,A_69_PV.12_E, 2014-09-26 ,Ramotar,Guyana,Donald Rabindranauth  Ramotar,GUY,President of the Republic of Guyana
4278,4278,4278,4278,4278,General debate,A_69_PV.12_E, 2014-09-26 ,Pohamba,Namibia,Hifikepunye  Pohamba,NAM,President of the Republic of Namibia
4252,4252,4252,4252,4252,General debate,A_69_PV.13_E, 2014-09-26 ,Tong,Kiribati,Anote  Tong,KIR,President
4253,4253,4253,4253,4253,General debate,A_69_PV.13_E, 2014-09-26 ,Loeak,Marshall Islands,Christopher Jorebon  Loeak,MHL,President of the Republic of the Marshall Islands
4254,4254,4254,4254,4254,General debate,A_69_PV.13_E, 2014-09-26 ,Dhoinine,Comoros,Ikililou  Dhoinine,COM,President of the Union of the Comoros
4255,4255,4255,4255,4255,General debate,A_69_PV.13_E, 2014-09-26 ,Ivanov,The former Yugoslav Republic of Macedonia,Gjorge   Ivanov,The former Yugoslav Republic of Macedonia,President of the former Yugoslav Republic of Macedonia
4256,4256,4256,4256,4256,General debate,A_69_PV.13_E, 2014-09-26 ,Savarin,Dominica,Charles  Savarin,DMA,President of the Commonwealth of Dominica
4257,4257,4257,4257,4257,General debate,A_69_PV.13_E, 2014-09-26 ,Mori,Micronesia,Emanuel  Mori,FSM,President and Head of Government of the Federated States of Micronesia
4258,4258,4258,4258,4258,General debate,A_69_PV.13_E, 2014-09-26 ,Martelly,Haiti,Michel Joseph  Martelly,HTI,President of the Republic of Haiti
4259,4259,4259,4259,4259,General debate,A_69_PV.13_E, 2014-09-26 ,Nikolic,Serbia,Tomislav  Nikolic,SRB,President of the Republic of Serbia
4260,4260,4260,4260,4260,General debate,A_69_PV.13_E, 2014-09-26 ,Mohamud,Somalia,Hassan Sheikh  Mohamud,SOM,President of the Federal Republic of Somalia
4239,4239,4239,4239,4239,General debate,A_69_PV.14_E, 2014-09-26 ,Mammadova,Azerbaijan,Husniyya  Mammadova,AZE,
4240,4240,4240,4240,4240,General debate,A_69_PV.14_E, 2014-09-26 ,Singh,India,Arvind Kumar  Singh,IND,
4241,4241,4241,4241,4241,General debate,A_69_PV.14_E, 2014-09-26 ,Kazhoyan,Armenia,Vahram  Kazhoyan,ARM,
4242,4242,4242,4242,4242,General debate,A_69_PV.14_E, 2014-09-26 ,Kalaba,Zambia,Harry  Kalaba,ZMB,Minister for Foreign Affairs of the Republic of Zambia.Mr. Kalaba (Zambia): I extend our sincere congratulations to Mr. Sam Kutesa on his election to preside over the General Assembly at its sixty-ninth session. We see him undertaking that onerous task at a particularly important moment in not only the forging of the future global development agenda
4243,4243,4243,4243,4243,General debate,A_69_PV.14_E, 2014-09-26 ,Morales,Guatemala,Carlos Raúl  Morales,GTM,Minister for Foreign Affairs of the Republic of Guatemala.Mr. Morales (Guatemala) (spoke in Spanish): I would like to begin my remarks by conveying our greetings to Mr. Sam Kutesa
4244,4244,4244,4244,4244,General debate,A_69_PV.14_E, 2014-09-26 ,Karti,Sudan,Ali Ahmed  Karti,SDN,Minister for Foreign Affairs of the Republic of the Sudan.Mr. Karti (Sudan) (spoke in Arabic): At the outset
4245,4245,4245,4245,4245,General debate,A_69_PV.14_E, 2014-09-26 ,Kamilov,Uzbekistan,Abdulaziz  Kamilov,UZB,Minister for Foreign Affairs of the Republic of Uzbekistan. Mr. Kamilov (Uzbekistan): Today I would like to address some of the most important issues on the General Assemblys agenda.First are the growing regional and international security challenges and threats
4246,4246,4246,4246,4246,General debate,A_69_PV.14_E, 2014-09-26 ,Idrissov,Kazakhstan,Erlan  Idrissov,KAZ,Minister for Foreign Affairs of the Republic of Kazakhstan.Mr. Idrissov (Kazakhstan): On behalf of the Republic of Kazakhstan
4247,4247,4247,4247,4247,General debate,A_69_PV.14_E, 2014-09-26 ,Mammadyarov,Azerbaijan,Elmar Maharram oglu  Mammadyarov,AZE,Minister for Foreign Affairs of the Republic of Azerbaijan.Mr. Mammadyarov (Azerbaijan): At the outset
4248,4248,4248,4248,4248,General debate,A_69_PV.14_E, 2014-09-26 ,Persad-Bissessar,Trinidad and Tobago,Kamla   Persad-Bissessar,TTO,Prime Minister of the Republic of Trinidad and Tobago
4249,4249,4249,4249,4249,General debate,A_69_PV.14_E, 2014-09-26 ,Di Rupo,Belgium,Elio  Di Rupo,BEL,Prime Minister of the Kingdom of Belgium
4250,4250,4250,4250,4250,General debate,A_69_PV.14_E, 2014-09-26 ,Garibashvili,Georgia,Irakli  Garibashvili,GEO,Prime Minister of Georgia
4251,4251,4251,4251,4251,General debate,A_69_PV.14_E, 2014-09-26 ,Koirala,Nepal,Sushil  Koirala,NPL,Prime Minister of the Federal Democratic Republic of Nepal
4221,4221,4221,4221,4221,General debate,A_69_PV.15_E, 2014-09-27 ,Keita,Mali,Ibrahim Boubacar  Keita,MLI,President of the Republic of Mali
4222,4222,4222,4222,4222,General debate,A_69_PV.15_E, 2014-09-27 ,Kurz,Austria,Sebastian  Kurz,AUT,Federal Minister for Europe
4223,4223,4223,4223,4223,General debate,A_69_PV.15_E, 2014-09-27 ,Rodríguez Parrilla,Cuba,Bruno  Rodríguez Parrilla,CUB,Minister for Foreign Affairs of the Republic of Cuba.Mr. Rodriguez Parrilla (Cuba) (spoke in Spanish): We live in a globalized world that is moving towards multipolarity in an age characterized by the threat to the survival of the human species. 
4224,4224,4224,4224,4224,General debate,A_69_PV.15_E, 2014-09-27 ,Al Nahyan,United Arab Emirates,Abdullah bin Zayed  Al Nahyan,ARE,Minister for Foreign Affairs of the United Arab Emirates.Sheikh Abdullah Bin Zayed Al Nahyan (United Arab Emirates) (spoke in Arabic): At the outset
4225,4225,4225,4225,4225,General debate,A_69_PV.15_E, 2014-09-27 ,Valentini,San Marino,Pasquale  Valentini,SMR,Minister for Foreign and Political Affairs of the Republic of San Marino.Mr. Valentini (San Marino) (spoke in Italian; English text provided by the delegation): On behalf of the Government of the Republic of San Marino
4226,4226,4226,4226,4226,General debate,A_69_PV.15_E, 2014-09-27 ,Wang,China,Yi  Wang,CHN,Minister for Foreign Affairs of the Peoples Republic of China.Mr. Wang Yi (China) (spoke in Chinese): This year marks the centenary of the outbreak of the First World War. A distinguished thinker in modern China
4227,4227,4227,4227,4227,General debate,A_69_PV.15_E, 2014-09-27 ,Lavrov,Russian Federation,Sergei Viktorovich  Lavrov,RUS,Minister for Foreign Affairs of the Russian Federation.Mr. Lavrov (Russian Federation) (spoke in Russian): 
4228,4228,4228,4228,4228,General debate,A_69_PV.15_E, 2014-09-27 ,Steinmeier,Germany,Frank-Walter  Steinmeier,DEU,Minister for Foreign Affairs of the Federal Republic of Germany.Mr. Steinmeier (Germany) (spoke in German; English text provided by the delegation): 
4229,4229,4229,4229,4229,General debate,A_69_PV.15_E, 2014-09-27 ,Gwaider,Libya,Agila Saleh Essa  Gwaider,LBY,President of the House of Representatives of Libya.Mr. Gwaider (Libya) (spoke in Arabic): At the outset
4230,4230,4230,4230,4230,General debate,A_69_PV.15_E, 2014-09-27 ,Sopoaga,Tuvalu,Enele S.  Sopoaga,TUV,Prime Minister of Tuvalu
4231,4231,4231,4231,4231,General debate,A_69_PV.15_E, 2014-09-27 ,Bainimarama,Fiji,Josaia V.  Bainimarama,FJI,Prime Minister of the Republic of Fiji
4232,4232,4232,4232,4232,General debate,A_69_PV.15_E, 2014-09-27 ,Hasina,Bangladesh,Sheikh  Hasina,BGD,Prime Minister of the Peoples Republic of Bangladesh
4233,4233,4233,4233,4233,General debate,A_69_PV.15_E, 2014-09-27 ,Modi,India,Narendra  Modi,IND,Prime Minister of the Republic of India
4234,4234,4234,4234,4234,General debate,A_69_PV.15_E, 2014-09-27 ,Bazombanza,Burundi,Prosper  Bazombanza,BDI,Vice-President of the Republic of Burundi
4235,4235,4235,4235,4235,General debate,A_69_PV.15_E, 2014-09-27 ,Samba-Panza,Central African Republic,Catherine  Samba-Panza,CAF,President of the Transitional Government of the Central African Republic
4236,4236,4236,4236,4236,General debate,A_69_PV.15_E, 2014-09-27 ,Kiir Mayardit,South Sudan,Slava  Kiir Mayardit,SSD,
4237,4237,4237,4237,4237,General debate,A_69_PV.15_E, 2014-09-27 ,Patimapragorn,Thailand,Tanasak  Patimapragorn,THA,Deputy Prime Minister and Minister for Foreign Affairs of Thailand.Mr. Patimapragorn (Thailand): I am here to pay my countrys highest tribute to the United Nations for the work it has done to improve the lives of people around the world. Thailand is fully committed to what the United Nations stands for and to realizing through the United Nations the hopes we all share. We are also firmly committed to fulfilling our responsibilities as a Member of the United Nations
4238,4238,4238,4238,4238,General debate,A_69_PV.15_E, 2014-09-27 ,Tupou VI,Tonga,King of Tonga  Tupou VI,TON,King of the Kingdom of Tonga
4211,4211,4211,4211,4211,General debate,A_69_PV.16_E, 2014-09-27 ,Osmani,Afghanistan,Zarar Ahmad  Osmani,AFG,Minister for Foreign Affairs of Afghanistan.Mr. Osmani (Afghanistan) (spoke in Pashto; English text provided by the delegation): It gives me great pleasure to express my sincere congratulations to the President on his well-deserved election to the presidency of the General Assembly at its sixty-ninth session. We are confident that his wisdom and experience will ensure constructive and fruitful deliberations on the very important and vital issues before the Assembly. I should like to assure him of the full cooperation of my delegation to that end. I also express my deep appreciation to his predecessor and my gratitude to Secretary-General Ban Ki-moon for his competent and excellent leadership of the Organization.I am delighted to report to the Assembly that Afghanistan has achieved a significant milestone with the successful conclusion of its presidential elections
4212,4212,4212,4212,4212,General debate,A_69_PV.16_E, 2014-09-27 ,Nicholson,Jamaica,Arnold J.  Nicholson,JAM,Minister for Foreign Affairs and Foreign Trade of Jamaica.Mr. Nicholson (Jamaica): I stand here today
4213,4213,4213,4213,4213,General debate,A_69_PV.16_E, 2014-09-27 ,Zaorálek,Czech Republic,Lubomír  Zaorálek,CZE,Minister for Foreign Affairs of the Czech Republic.Mr. Zaorialek (Czech Republic): This year marks the 100th anniversary of the beginning of the First World War. Yet in todays world we are far from having achieved global peace. It therefore remains a major task for the international community to achieve it. But that is not the only task that remains. In order to achieve global peace we also have to tackle two other equally important challenges
4214,4214,4214,4214,4214,General debate,A_69_PV.16_E, 2014-09-27 ,Machete,Portugal,Rui  Machete,PRT,Minister of State and Foreign Affairs of the Republic of Portugal.Mr. Machete (Portugal) (spoke in Portuguese: English text provided by the delegation): At the outset
4215,4215,4215,4215,4215,General debate,A_69_PV.16_E, 2014-09-27 ,Balói,Mozambique,Oldemiro Julio Marques  Balói,MOZ,Minister for Foreign Affairs and Cooperation of the Republic of Mozambique.Mr. Baloi (Mozambique): It is a great honour for me to address the General Assembly on behalf of His Excellency Mr. Armando Emilio Guebuza
4216,4216,4216,4216,4216,General debate,A_69_PV.16_E, 2014-09-27 ,Lamamra,Algeria,Ramtane  Lamamra,DZA,Minister for Foreign Affairs of the Peoples Democratic Republic of Algeria.Mr. Lamamra (Algeria) (spoke in Arabic): I should like at the outset to express my satisfaction at seeing Mr. Sam Kutesa
4217,4217,4217,4217,4217,General debate,A_69_PV.16_E, 2014-09-27 ,Ri Su Yong (Democratic People's Republic of Korea),Democratic People's Republic of Korea,i Su Yong ,PRK,Minister for Foreign Affairs of the Democratic Peoples Republic of Korea.Mr. Ri Su Yong (Democratic Peoples Republic of Korea) (spoke in Korean; English text provided by the delegation): On behalf of the delegation of the Democratic Peoples Republic of Korea
4218,4218,4218,4218,4218,General debate,A_69_PV.16_E, 2014-09-27 ,Venizelos,Greece,Evangelos  Venizelos,GRC,Deputy Prime Minister and Minister for Foreign Affairs of the Hellenic Republic.Mr. Venizelos (Greece) (spoke in French): This sixty-ninth session of the General Assembly is taking place in a global context full of challenges
4219,4219,4219,4219,4219,General debate,A_69_PV.16_E, 2014-09-27 ,Pham,Viet Nam,Binh Minh  Pham,VNM,Deputy Prime Minister and Minister for Foreign Affairs of the Socialist Republic of Viet Nam.Mr. Pham Binh Minh (Viet Nam): At the outset
4220,4220,4220,4220,4220,General debate,A_69_PV.16_E, 2014-09-27 ,Petit,Andorra,Antoni Martí  Petit,AND,Head of Government of the Principality of Andorra
4195,4195,4195,4195,4195,General debate,A_69_PV.17_E, 2014-09-29 ,Rosario,Philippines,Albert F. del  Rosario,PHL,Secretary for Foreign Affairs of the Republic of the Philippines.Mr. Del Rosario (Philippines): On behalf of the Philippine Government
4196,4196,4196,4196,4196,General debate,A_69_PV.17_E, 2014-09-29 ,Lwin,Myanmar,Wunna Maung  Lwin,MMR,Minister for Foreign Affairs of the Republic of the Union of Myanmar.Mr. Wunna Maung Lwin (Myanmar): We are gathered here at a time when the world is facing pressing global challenges and security threats that must be addressed collectively and with urgency. Our planet is heating up owing to the clear and imminent danger of climate change. Terrorism is rearing its ugly head once again. 
4197,4197,4197,4197,4197,General debate,A_69_PV.17_E, 2014-09-29 ,Skelemani,Botswana,Phandu T.C.  Skelemani,BWA,Minister for Foreign Affairs and International Cooperation of the Republic of Botswana.Mr. Skelemani (Botswana): It is a singular honour and privilege for me to address this gathering of the international community. Allow me
4198,4198,4198,4198,4198,General debate,A_69_PV.17_E, 2014-09-29 ,Sveinsson,Iceland,Gunnar Bragi  Sveinsson,ISL,Minister for Foreign Affairs of the Republic of Iceland.Mr. Sveinsson (Iceland): Next year we will celebrate the seventieth anniversary of the United Nations. As we approach that milestone
4199,4199,4199,4199,4199,General debate,A_69_PV.17_E, 2014-09-29 ,Netanyahu,Israel,Binyamin  Netanyahu,ISR,Prime Minister and Minister of Public Affairs and the Diaspora of the State of Israel
4200,4200,4200,4200,4200,General debate,A_69_PV.17_E, 2014-09-29 ,Abdyldaev,Kyrgyzstan,Erlan  Abdyldaev,KGZ,Minister for Foreign Affairs of the Kyrgyz Republic.Mr. Abdyldayev (Kyrgyzstan) (spoke in Russian): First of all
4201,4201,4201,4201,4201,General debate,A_69_PV.17_E, 2014-09-29 ,Frick,Liechtenstein,Aurelia  Frick,LIE,Minister for Foreign Affairs
4202,4202,4202,4202,4202,General debate,A_69_PV.17_E, 2014-09-29 ,Al-Khalifa,Bahrain,Shaikh Khalid Bin Ahmed bin Mohammed   Al-Khalifa,BHR,Minister for Foreign Affairs of the Kingdom of Bahrain.Shaikh Khalid Bin Ahmed Al-Khalifa (Bahrain) (spoke in Arabic): At the outset
4203,4203,4203,4203,4203,General debate,A_69_PV.17_E, 2014-09-29 ,Sisoulith,Lao People's Democratic Republic,Thongloun  Sisoulith,LAO,Deputy Prime Minister and Minister for Foreign Affairs of the Lao Peoples Democratic Republic.Mr. Sisoulith (Lao Peoples Democratic Republic) (spoke in Lao; English text provided by the delegation): On behalf of the Government of the Lao Peoples Democratic Republic
4204,4204,4204,4204,4204,General debate,A_69_PV.17_E, 2014-09-29 ,Al-Moualem,Syrian Arab Republic,Walid  Al-Moualem,SYR,Minister for Foreign Affairs of the Syrian Arab Republic.Mr. Al-Moualem (Syrian Arab Republic) (spoke in Arabic): I would like to congratulate you
4205,4205,4205,4205,4205,General debate,A_69_PV.17_E, 2014-09-29 ,Parolin,Holy See,Pietro  Parolin,VAT,Secretary of State of the Holy See.Cardinal Parolin (Holy See): In extending the Holy Sees congratulations to Mr. Sam Kutesa on his election to the presidency of the General Assembly at its sixty-ninth session
4206,4206,4206,4206,4206,General debate,A_69_PV.17_E, 2014-09-29 ,Natuman,Vanuatu,Joe  Natuman,VUT,Prime Minister of the Republic of Vanuatu
4207,4207,4207,4207,4207,General debate,A_69_PV.17_E, 2014-09-29 ,Pereira,Guinea-Bissau,Domingos Simões  Pereira,GNB,Prime Minister of the Republic of Guinea-Bissau
4208,4208,4208,4208,4208,General debate,A_69_PV.17_E, 2014-09-29 ,Dlamini,Swaziland,Barnabas Sibusiso  Dlamini,SWZ,Prime Minister of the Kingdom of Swaziland
4209,4209,4209,4209,4209,General debate,A_69_PV.17_E, 2014-09-29 ,Vicente,Angola,Manuel Domingos  Vicente,AGO,Vice-President of the Republic of Angola
4210,4210,4210,4210,4210,General debate,A_69_PV.17_E, 2014-09-29 ,Costa,Sao Tome and Principe,Gabriel Arcanjo Ferreira da  Costa,STP,Prime Minister of the Democratic Republic of Sao Tome and Principe
4184,4184,4184,4184,4184,General debate,A_69_PV.18_E, 2014-09-29 ,Gonsalves,Saint Vincent and the Grenadines,Camillo  Gonsalves,VCT,Minister for Foreign Affairs
4185,4185,4185,4185,4185,General debate,A_69_PV.18_E, 2014-09-29 ,Steele,Grenada,Nickolas  Steele,GRD,Minister for Foreign Affairs and International Business of Grenada.Mr. Steele (Grenada): I would like
4186,4186,4186,4186,4186,General debate,A_69_PV.18_E, 2014-09-29 ,Ngafuan,Liberia,Augustine Kpehe  Ngafuan,LBR,Minister for Foreign Affairs of the Republic of Liberia.Mr. Ngafuan (Liberia): I bring the Assembly greetings from Her Excellency Mrs. Ellen Johnson-Sirleaf
4187,4187,4187,4187,4187,General debate,A_69_PV.18_E, 2014-09-29 ,Kamara,Sierra Leone,Samura M.W.  Kamara,SLE,Minister for Foreign Affairs and International Cooperation of Sierra Leone.Mr. Kamara (Sierra Leone): I bring to the Assembly fraternal greetings and best wishes from Mr. Ernest Bai Koroma
4188,4188,4188,4188,4188,General debate,A_69_PV.18_E, 2014-09-29 ,Badia,Monaco,José  Badia,MCO,Minister for Foreign Affairs of the Principality of Monaco.Mr. Badia (Monaco) (spoke in French): 
4189,4189,4189,4189,4189,General debate,A_69_PV.18_E, 2014-09-29 ,Almagro Lemes,Uruguay,Luis  Almagro Lemes,URY,Minister for Foreign Affairs of the Eastern Republic of Uruguay.Mr. Almagro (Uruguay) (spoke in Spanish): Ours is a harsh and difficult world — a complex
4190,4190,4190,4190,4190,General debate,A_69_PV.18_E, 2014-09-29 ,Flanagan,Ireland,Charles  Flanagan,IRL,Minister for Foreign Affairs and Trade of Ireland.Mr. Flanagan (Ireland): It is my great honour to represent Ireland today at the General Assembly. Regrettably
4191,4191,4191,4191,4191,General debate,A_69_PV.18_E, 2014-09-29 ,Shanmugam,Singapore,K.  Shanmugam,SGP,Minister for Foreign Affairs of the Republic of Singapore.Mr. Shanmugam (Singapore): I wish to convey our congratulations to Mr. Sam Kahamba Kutesa on his election as President of the General Assembly at its sixty-ninth session. We wish him success in the coming year.We are not living in the worst of times
4192,4192,4192,4192,4192,General debate,A_69_PV.18_E, 2014-09-29 ,McCully,New Zealand,Murray  McCully,NZL,Minister for Foreign Affairs of New Zealand.Mr. McCully (New Zealand): It is an honour to address the General Assembly today on behalf of the Prime Minister and Government of New Zealand. Our general election took place in the past week. Our Prime Minister
4193,4193,4193,4193,4193,General debate,A_69_PV.18_E, 2014-09-29 ,Hor,Cambodia,Namhong  Hor,KHM,Deputy Prime Minister and Minister for Foreign Affairs and International Cooperation of the Kingdom of Cambodia.Mr. Hor Namhong (Cambodia): At the outset
4194,4194,4194,4194,4194,General debate,A_69_PV.18_E, 2014-09-29 ,Bassolé,Burkina Faso,Djibrill Yipènè  Bassolé,BFA,Minister for Foreign Affairs and Regional Cooperation of Burkina Faso.Mr. Bassole (Burkina Faso) (spoke in French): Every year
4177,4177,4177,4177,4177,General debate,A_69_PV.19_E, 2014-09-29 ,Safaei,Iran,Javad  Safaei,IRN,
4178,4178,4178,4178,4178,General debate,A_69_PV.19_E, 2014-09-29 ,Grunditz,Sweden,Marten  Grunditz,SWE,
4179,4179,4179,4179,4179,General debate,A_69_PV.19_E, 2014-09-29 ,Dussey,Togo,Robert  Dussey,TGO,Minister of State and Minister for Foreign Affairs and Cooperation of the Togolese Republic.Mr. Dussey (Togo) (spoke in French): I would like to extend to the President
4180,4180,4180,4180,4180,General debate,A_69_PV.19_E, 2014-09-29 ,Nisbett,Saint Kitts and Nevis,Patrice  Nisbett,KNA,Minister for Foreign Affairs
4181,4181,4181,4181,4181,General debate,A_69_PV.19_E, 2014-09-29 ,Adam,Seychelles,Jean-Paul  Adam,SYC,Minister for Foreign Affairs of the Republic of Seychelles.Mr. Adam (Seychelles): It gives me great pleasure to begin this address with warm congratulations to His Excellency Mr. Sam Kutesa on his election as President of the General Assembly at its sixty-ninth session. I also wish to congratulate His Excellency Mr. John Ashe on his inspiring leadership of the Assembly at its sixty-eighth session.This year
4182,4182,4182,4182,4182,General debate,A_69_PV.19_E, 2014-09-29 ,Tsekoa,Lesotho,Mohlabi  Tsekoa,LSO,Minister for Foreign Affairs and International Relations of the Kingdom of Lesotho.Mr. Tsekoa (Lesotho): I would first like to congratulate President Kutesa on his well-deserved election to the presidency of the General Assembly at its sixty-ninth session. His distinguished career as a diplomat and leader assures us of a successful session. I would also like to commend his predecessor
4183,4183,4183,4183,4183,General debate,A_69_PV.19_E, 2014-09-29 ,Al-Sallal,Yemen,Jamal Abdullah  Al-Sallal,YEM,Minister for Foreign Affairs of the Republic of Yemen.Mr. Al-Sallal (Yemen) (spoke in Arabic): At the outset
