speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position,similarity_score,word_count_diff
General debate,A_47_PV.15_E, 1992-09-28 ,Meksi,Albania,A.  Meksi,ALB,Chairman of the Council of Ministers of the Republic of Albania ... This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9725337431949109,18666
General debate,A_47_PV.15_E, 1992-09-28 ,Landsbergis,Lithuania,V.  Landsbergis,LTU,President of the Supreme Council of the Republic of Lithuania General debate [9] (continued) Statements made by Mr. Evans (Australia) Address by Mr. Aleksander Meksi,0.952363261233318,25637
General debate,A_47_PV.17_E, 1992-09-29 ,Sey,Gambia,O.B.  Sey,GMB,,0.9845696740995933,23790
General debate,A_47_PV.17_E, 1992-09-29 ,Menendez Park,Guatemala,G.  Menendez Park,GTM,Guatemala) to seek peaceful solutions to conflicts and confrontations that still persist,0.9846325379155202,23671
General debate,A_47_PV.17_E, 1992-09-29 ,Natchaba,Togo,O.  Natchaba,TGO,Office of Conference Services,0.9853115914783989,23854
General debate,A_47_PV.17_E, 1992-09-29 ,Frutos Vaesken,Paraguay,A.  Frutos Vaesken,PRY,Paraguay) ,0.9775779227313646,24630
General debate,A_47_PV.17_E, 1992-09-29 ,Al-Faisal,Saudi Arabia,S.  Al-Faisal,SAU,Saudi Arabia) increase in the possibilities and opportunities for cooperation among nations in enhancing and supporting the Organization so that no nation may commit aggression against or threaten the security,0.9839634579010583,23694
General debate,A_47_PV.17_E, 1992-09-29 ,Manitski,Estonia,J.  Manitski,EST,President of the Republic of Haiti This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9225386245402075,25475
General debate,A_47_PV.17_E, 1992-09-29 ,Rahman,Bangladesh,M.  Rahman,BGD,New York,0.9826848419252044,23082
General debate,A_47_PV.17_E, 1992-09-29 ,Aristide,Haiti,Jean-Bertrand  Aristide,HTI,President of the Republic of Haiti This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9464591930405228,19986
General debate,A_47_PV.21_E, 1992-10-01 ,Sanon,Burkina Faso,T.  Sanon,BFA,New York,0.9820988471197241,16485
General debate,A_47_PV.21_E, 1992-10-01 ,Gros Espiell,Uruguay,Héctor  Gros Espiell,URY,Uruguay) Uzbekistan to our community of nations. ,0.9892283819614028,15413
General debate,A_47_PV.21_E, 1992-10-01 ,Abu Jaber,Jordan,K.  Abu Jaber,JOR,Jordan) the establishment of a new,0.9834085956493289,15393
General debate,A_47_PV.21_E, 1992-10-01 ,Berenger,Mauritius,P.R.  Berenger,MUS,,0.9842887466275295,14668
General debate,A_47_PV.21_E, 1992-10-01 ,Tau,Republic of Moldova,N.  Tau,MDA,New York,0.9690299796910922,17186
General debate,A_47_PV.21_E, 1992-10-01 ,Rabenoro,Madagascar,C.  Rabenoro,MDG,Official Records Editing Section,0.9735464389780768,16776
General debate,A_47_PV.23_E, 1992-10-02 ,Braganca,Sao Tome and Principe,A.  Braganca,STP,with whom my delegation had the good fortune to cooperate within the Bureau of the forty-sixth session,0.9796668981548491,15872
General debate,A_47_PV.23_E, 1992-10-02 ,Matthews,Liberia,G.B.  Matthews,LBR,,0.9808138069989301,13980
General debate,A_47_PV.23_E, 1992-10-02 ,Diria,United Republic of Tanzania,A.H.  Diria,TZA,,0.9800975891618882,14703
General debate,A_47_PV.23_E, 1992-10-02 ,Nguyen,Viet Nam,Manh Cam  Nguyen,VNM,Viet Nam) concerned,0.9768160655631264,14957
General debate,A_47_PV.23_E, 1992-10-02 ,Fonseca,Cape Verde,Jorge Carlos  Fonseca,CPV,Cape Verde) affirmation of and respect for the fundamental rights of the citizenry,0.980340974113688,15299
General debate,A_47_PV.23_E, 1992-10-02 ,Sylla,Guinea,I.  Sylla,GIN,New York,0.9849726747931888,15245
General debate,A_47_PV.24_E, 1992-10-05 ,Gyaw,Myanmar,Ohn  Gyaw,MMR,,0.9870648820559544,14669
General debate,A_47_PV.24_E, 1992-10-05 ,Toure,Guinea-Bissau,B.  Toure,GNB,PRESIDENT OF THE REPUBLIC OF KAZAKHSTAN ,0.9892628216659058,14679
General debate,A_47_PV.24_E, 1992-10-05 ,Hurst,Antigua and Barbuda,Lionel  Hurst,ATG,,0.9710342879208979,15937
General debate,A_47_PV.24_E, 1992-10-05 ,Sipaseuth,Lao People's Democratic Republic,P.  Sipaseuth,LAO,and incorporated in a copy of the record. 1619V (E) 2 ,0.9787743819713259,17103
General debate,A_47_PV.24_E, 1992-10-05 ,Pursoo,Grenada,Eugene M.  Pursoo,GRD,,0.9728562290730906,16841
General debate,A_47_PV.24_E, 1992-10-05 ,Nazarbaev,Kazakstan,M.  Nazarbaev,KAZ,President of the Republic of Kazakhstan General debate [9] (continued) Statements made by Mr. Pursoo (Grenada) Mr. Sipaseuth (Lao People's Democratic Republic) Mr. Hurst (Antigua and Barbuda) Mr. Toure (Guinea-Bissau) Mr. Gyaw (Myanmar) Tentative programme of work This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9778247215143313,15644
General debate,A_47_PV.25_E, 1992-10-05 ,Abdurazzakov,Uzbekistan,U.  Abdurazzakov,UZB,and incorporated in a copy of the record. 1635V (E) 2 ,0.9555051028131194,14100
General debate,A_47_PV.25_E, 1992-10-05 ,Mesfin,Ethiopia,Seyoum  Mesfin,ETH,,0.9855125703995093,11609
General debate,A_47_PV.25_E, 1992-10-05 ,Adoum,Chad,Mahamat Ali  Adoum,TCD,,0.9830019568832145,13029
General debate,A_47_PV.25_E, 1992-10-05 ,Alleyne,Dominica,B.G.K.  Alleyne,DMA,,0.978673704257569,13409
General debate,A_47_PV.25_E, 1992-10-05 ,Al-Bishari,Libyan Arab Jamahiriya,I.  Al-Bishari,LBY,Libyan Arab Jamahiriya) Since the last session,0.9897767028176141,10316
General debate,A_47_PV.26_E, 1992-10-06 ,Carias Zapata,Honduras,Mario  Carias Zapata,HND,to these halls. We Filipinos take pride in having been early in the ranks of democracy's march in recent history. In 1986,0.965712324523647,12464
General debate,A_47_PV.26_E, 1992-10-06 ,Aitmatov,Kyrgyzstan,A.  Aitmatov,KGZ,Kyrgyzstan) preventive diplomacy,0.9589294057003847,13401
General debate,A_47_PV.26_E, 1992-10-06 ,Ndolo Ayah,Kenya,W.  Ndolo Ayah,KEN,Kenya) the availability of finance. We also wish to underscore that the implementation of sustainable development will be futile if developed countries and financial institutions use financial considerations as an excuse for interfering in the internal affairs of developing countries or as an opportunity to introduce conditionalities. ,0.9833056086722091,11280
General debate,A_47_PV.26_E, 1992-10-06 ,Romulo,Philippines,Roberto  Romulo,PHL,"said: ""At no time in history has it been more clear that the many and closely interrelated global problems that beset us will not yield to peacemeal and national solutions. ",0.98931474061834,10818
General debate,A_47_PV.26_E, 1992-10-06 ,Gurirab,Namibia,Theo-Ben  Gurirab,NAM,Namibia) ,0.9821771019318096,10431
General debate,A_47_PV.27_E, 1992-10-06 ,Turnquest,Bahamas,Orville Alton  Turnquest,BHS,Bahamas) United States of America,0.9870875783439461,6576
General debate,A_47_PV.27_E, 1992-10-06 ,King,Barbados,M.  King,BRB,New York,0.9843935731471725,7262
General debate,A_47_PV.27_E, 1992-10-06 ,Kalpage,Sri Lanka,Stanley  Kalpage,LKA,,0.9849424839803401,7077
General debate,A_47_PV.27_E, 1992-10-06 ,Devesi,Solomon Islands,B.  Devesi,SLB,Solomon Islands) Despite this message,0.9648866875949892,7949
General debate,A_47_PV.27_E, 1992-10-06 ,Masire,Botswana,Ketumile  Masire,BWA,President of the Republic of Botswana General debate [9] (continued) Statements made by Sir Baddeley Devesi (Solomon Islands) Mr. Kalpage (Sri Lanka) Mr. King (Barbados) Mr. Turnquest (Bahamas) This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,BUG,BUG
General debate,A_47_PV.28_E, 1992-10-07 ,Ssemoerere,Uganda,P.K.  Ssemoerere,UGA,,0.9919591461467073,6265
General debate,A_47_PV.28_E, 1992-10-07 ,Pashovski,Bulgaria,Slavi  Pashovski,BGR,,0.9809751030509749,7970
General debate,A_47_PV.28_E, 1992-10-07 ,Tshering,Bhutan,Ugyen  Tshering,BTN,Bhutan) hopes have been dampened on the one hand by the unleashing of old hostilities and new conflicts,0.9750054618891467,8519
General debate,A_47_PV.29_E, 1992-10-07 ,Moses,Micronesia,Resio  Moses,FSM,,0.9820858945414721,14797
General debate,A_47_PV.29_E, 1992-10-07 ,Young,Saint Vincent and the Grenadines,H.  Young,VCT,New York,0.9835117556467001,15190
General debate,A_47_PV.29_E, 1992-10-07 ,Musa,Belize,S.  Musa,BLZ,Office of Conference Services,0.9628299034202059,15069
General debate,A_47_PV.29_E, 1992-10-07 ,Muno,Malawi,L.G.  Muno,MWI,,0.9751930410398616,15415
General debate,A_47_PV.29_E, 1992-10-07 ,Mba Ekua Miko,Equatorial Guinea,B.  Mba Ekua Miko,GNQ,every success in the discharge of the noble and lofty mission that we have entrusted to him. I assure my dear brother and friend that in his efforts to ensure that the United Nations plays the part it is intended to play he will have the unflagging support of my country,0.978082446085377,15307
General debate,A_47_PV.29_E, 1992-10-07 ,Moumin,Comoros,Amini Ali  Moumin,COM,,0.980935645274805,14805
General debate,A_47_PV.30_E, 1992-10-08 ,Carlot Korman,Vanuatu,M.  Carlot Korman,VUT,Prime Minister of the Republic of Vanuatu Statement by the President Programme of work * This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9637342412101749,7194
General debate,A_47_PV.30_E, 1992-10-08 ,Kaputin,Papua New Guinea,John  Kaputin,PNG,Papua New Guinea) ,0.9802550271943786,5789
General debate,A_47_PV.30_E, 1992-10-08 ,Rabuka,Fiji,S.L.  Rabuka,FJI,Prime Minister of the Republic of Fiji Statement by Mr. Kaputin (Papua New Guinea) Address by Mr. Maxime Carlot Korman,BUG,BUG
General debate,A_47_PV.4_E, 1992-09-21 ,Filali,Morocco,Abdellatif  Filali,MAR,Morocco) Following the progress achieved recently in disarmament and the increased awareness of the international community of environmental issues following the Earth Summit in Rio this year,0.9862026758074457,13331
General debate,A_47_PV.4_E, 1992-09-21 ,Mock,Austria,Alois  Mock,AUT,Austria) needed is pressure,0.9836317895100356,13826
General debate,A_47_PV.4_E, 1992-09-21 ,Chamorro,Nicaragua,Violeta  Chamorro,NIC,President of the Republic of Nicaragua General debate [9] (continued) Statements made by Mr. Mock (Austria) Mr. Filali (Morocco) Statement by the President 2 ,BUG,BUG
General debate,A_47_PV.4_E, 1992-09-21 ,Bush,United States,1924-   George Bush,USA,President of the United States of America Address by Mrs. Violeta Barrios de Chamorro,BUG,BUG
General debate,A_47_PV.4_E, 1992-09-21 ,Lafer,Brazil,C.  Lafer,BRA,Brazil) ,0.9846144661653845,13133
General debate,A_47_PV.5_E, 1992-09-21 ,Shamuyarira,Zimbabwe,N.M.  Shamuyarira,ZWE,Zimbabwe) In this regard,0.9840361864827591,21068
General debate,A_47_PV.5_E, 1992-09-21 ,Nginga,Angola,D.M.  Nginga,AGO,Angola) month. I am speaking,0.9743938595690003,22568
General debate,A_47_PV.5_E, 1992-09-21 ,Di Tella,Argentina,G.  Di Tella,ARG,New York,0.9860202760851331,20884
General debate,A_47_PV.5_E, 1992-09-21 ,Vayrynen,Finland,Paavo  Vayrynen,FIN,,0.9612383106517138,22873
General debate,A_47_PV.5_E, 1992-09-21 ,Velayati,Iran,Ali Akbar  Velayati,IRN,President of the Republic of Bosnia and Herzegovina General debate [9] (continued) Statement made by Mrs. de St. Jorre (Seychelles) Address by Mrs. Gro Harlem Brundtland,0.9743060590485411,21385
General debate,A_47_PV.5_E, 1992-09-21 ,Brundtland,Norway,Gro Harlem  Brundtland,NOR,Prime Minister of the Kingdom of Norway Statements made by Mr. Velayati (Islamic Republic of Iran) Mr. Vayrynen (Finland) Mr. Di Telia (Argentina) Mr. Nginga (Angola) Mr. Shamuyarira (Zimbabwe) 2 ,0.8264738281277155,-1498
General debate,A_47_PV.5_E, 1992-09-21 ,St. Jorre,Seychelles,D. de  St. Jorre,SYC,2 United Nations Plaza,0.9261255828055349,23798
General debate,A_47_PV.5_E, 1992-09-21 ,Izetbegovic,Bosnia and Herzegovina,A.  Izetbegovic,BIH,President of the Republic of Bosnia and Herzegovina General debate [9] (continued) Statement made by Mrs. de St. Jorre (Seychelles) Address by Mrs. Gro Harlem Brundtland,0.9169996455395485,23232
General debate,A_47_PV.5_E, 1992-09-21 ,Gaviria Trujillo,Colombia,Cesar  Gaviria Trujillo,COL,President of the Republic of Colombia Address by Mr. Alija Izetbegovic,BUG,BUG
General debate,A_47_PV.6_E, 1992-09-22 ,Broek,Netherlands,Hans van den  Broek,NLD,,0.9818879912859636,12535
General debate,A_47_PV.6_E, 1992-09-22 ,Kozyrev,Russian Federation,Andrei Vladimirovich  Kozyrev,RUS,Russian Federation) ,0.9792852217346768,13702
General debate,A_47_PV.6_E, 1992-09-22 ,Roh,Republic of Korea,Tae Woo  Roh,KOR,President of the Republic of Korea General debate [9] (continued) Statement made by Mr. Hurd (United Kingdom) Proc \'me of work This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,BUG,BUG
General debate,A_47_PV.6_E, 1992-09-22 ,Aptidon,Djibouti,H.G.  Aptidon,DJI,President of the Republic of Djibouti Address by Mr. Roh Tae Woo,BUG,BUG
General debate,A_47_PV.7_E, 1992-09-22 ,Bongo,Gabon,P.  Bongo,GAB,first in 1977,0.9752563366908706,40562
General debate,A_47_PV.7_E, 1992-09-22 ,Pinheiro,Portugal,J.  Pinheiro,PRT,PRESIPENT OF THE REPUBLIC OF CROATIA ,0.9808970617406712,41074
General debate,A_47_PV.7_E, 1992-09-22 ,Silva Cimma,Chile,E.  Silva Cimma,CHL,New York,0.9831243980033973,40392
General debate,A_47_PV.7_E, 1992-09-22 ,Ugglas,Sweden,Margareta af  Ugglas,SWE,,0.9748653097156837,40241
General debate,A_47_PV.7_E, 1992-09-22 ,Skubiszewski,Poland,K.  Skubiszewski,POL,for the skilful manner in which he steered the work of the forty-sixth session. Prominent among the challenges we have to meet is the protection of human rights in all their dimensions,0.9796945344767991,40719
General debate,A_47_PV.7_E, 1992-09-22 ,Watanabe,Japan,M.  Watanabe,JPN,Japan) I turn now to the subject of the environment and development. It is very important that the follow-up to the United Nations Conference on Environment and Development,0.9746357742442092,39565
General debate,A_47_PV.7_E, 1992-09-22 ,Kanju,Pakistan,M.  Kanju,PAK,New York,0.9835471881587441,39154
General debate,A_47_PV.7_E, 1992-09-22 ,Vassiliou,Cyprus,G.  Vassiliou,CYP,President of the Republic of Cyprus General debate [9] (continued) Statements made by Mr. Kanju (Pakistan) Mr. Watanabe (Japan) Mr. Skubiszewski (Poland) Mrs. af Ugglas (Sweden) Mr. Silva Cimma (Chile) Scale of assessments for the apportionment of the expenses of the United Nations [111] (continued) General debate [9] (continued) Statements made by Mr. Pinheiro (Portugal) Mrs. Bongo (Gabon) Adoption of the agenda and organization of work [8] (continued) 2 ,0.9812834612669247,40606
General debate,A_47_PV.7_E, 1992-09-22 ,Tudjman,Croatia,Franjo  Tudjman,HRV,President of the Republic of Croatia Address by Mr. George Vassiliou,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Nastase,Romania,A.  Nastase,ROU,Romania) ,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Bolkiah,Brunei Darussalam,M.  Bolkiah,BRN,New York,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Ellemann-Jensen,Denmark,U.  Ellemann-Jensen,DNK,Denmark) ,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Abdullah,Malaysia,A.B.  Abdullah,MYS,,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Bounkoulou,Congo,B.  Bounkoulou,COG,Congo) In all times,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Brunhart,Liechtenstein,H.  Brunhart,LIE,Head of Government of the Principality of Liechtenstein Statements made by Mr. Bounkoulou (Congo) Mr. Abdullah (Malaysia) Mr. Ellemann-Jensen (Denmark) Prince Mohamed Bolkiahh (Brunei Darussalam) Mr. Nastase (Romania) 2 ,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Solana Morales,Mexico,F.  Solana Morales,MEX,I pay a tribute to all the Bolivians who made possible the enormous advances we have achieved in this fight against one of the cruelest and most pernicious forms of corruption in contemporary society. I wish to express my special thanks to the self-sacrificing workers and farmers of my country. Tomorrow,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Strasser,Sierra Leone,V.E.M.  Strasser,SLE,Chairman of the National Provisional Ruling Council of the Republic of Sierra Leone General debate [9] (continued) Statement made bv Mr. Solana Morales (Mexico) This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,BUG,BUG
General debate,A_47_PV.9_E, 1992-09-23 ,Paz Zamora,Bolivia,J.  Paz Zamora,BOL,President of the Republic of Bolivia Address by Mr. Valentine E. M. Strasser,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Asamoah,Ghana,Obed  Asamoah,GHA,,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Jeszenszky,Hungary,Geza  Jeszenszky,HUN,,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Andreatta,Italy,Beniamino  Andreatta,ITA,,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Hariri,Lebanon,1944-2005   Rafiq Baha Hariri,LBN,Prime Minister of Lebanon,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Afwerki,Eritrea,Isaias  Afwerki,ERI,President of the State of Eritrea,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Rakhmonov,Tajikistan,Emomali  Rakhmonov,TJK,Chairman of the Supreme Council of the Republic of Tajikistan,BUG,BUG
General debate,A_48_PV.10_E, 1993-09-30 ,Gligorov,The former Yugoslav Republic of Macedonia,Kiro.  Gligorov,MKD,President of the Former Yugoslav Republic of Macedonia,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,St. Jorre,Seychelles,Danielle de  St. Jorre,SYC,,0.9579313396194975,31844
General debate,A_48_PV.11_E, 1993-09-30 ,Bongo,Gabon,Pascaline  Bongo,GAB,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Cetin,Turkey,Hikmet  Cetin,TUR,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Kasenally,Mauritius,Ahmud Swalay  Kasenally,MUS,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Haavisto,Finland,Heikki  Haavisto,FIN,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Subah,Kuwait,Sabah al-Ahmad al-Jabir  Subah,KWT,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Solana,Spain,Javier  Solana,ESP,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Barroso,Portugal,José Manuel Durão  Barroso,PRT,by encouraging the efforts - which have already made progress possible - aimed at for democratic institutions and human rights and developing new forms of economic integration. increasing respect I should also like to mention the current negotiations on the preservation of natural resources and the maintenance of environmental balance. ,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Zlenko,Ukraine,Anatoli  Zlenko,UKR,,BUG,BUG
General debate,A_48_PV.11_E, 1993-09-30 ,Meri,Estonia,Lennart  Meri,EST,President of the Republic of Estonia,BUG,BUG
General debate,A_48_PV.12_E, 1993-10-01 ,Singh,India,Dinesh.  Singh,IND,,BUG,BUG
General debate,A_48_PV.12_E, 1993-10-01 ,Papaconstantinou,Greece,Michael  Papaconstantinou,GRC,,BUG,BUG
General debate,A_48_PV.12_E, 1993-10-01 ,Ochoa Antich,Venezuela,Fernando  Ochoa Antich,VEN,,BUG,BUG
General debate,A_48_PV.12_E, 1993-10-01 ,Fujimori,Peru,Alberto  Fujimori,PER,Constitutional President of the Republic of Peru,BUG,BUG
General debate,A_48_PV.12_E, 1993-10-01 ,Jagan,Guyana,Cheddi  Jagan,GUY,President of the Republic of Guyana,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Toure,Mali,Mohamed  Toure,MLI,Prime Minister of Malaysia,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Bounkoulou,Congo,Benjamin  Bounkoulou,COG,,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Hameed,Sri Lanka,Shahul  Hameed,LKA,,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Sanon,Burkina Faso,Thomas  Sanon,BFA,,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Spring,Ireland,Dick  Spring,IRL,,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Alatas,Indonesia,Ali  Alatas,IDN,in his meeting with then Prime Minister Miyazawa of Japan as Chairman of the Group of Seven on the eve of the G-7 Summit last July,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Zia,Bangladesh,Begum Khaleda  Zia,BGD,Prime Minister of the Peoples Republic of Bangladesh,0.9768771578505402,19486
General debate,A_48_PV.13_E, 1993-10-01 ,Mahathir,Malaysia,Mohamad  Mahathir,MYS,Prime Minister of Malaysia,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,De Marco,Malta,Guido  De Marco,MLT,,0.9695750395726863,11371
General debate,A_48_PV.13_E, 1993-10-01 ,Mock,Austria,Alois  Mock,AUT,,BUG,BUG
General debate,A_48_PV.13_E, 1993-10-01 ,Mswati III,Swaziland,1968-   King of Swaziland Mswati III,SWZ,HEAD OF STATE OF THE KINGDOM OF SWAZILAND ,0.9805863875524325,32883
General debate,A_48_PV.14_E, 1993-10-04 ,Velayati,Iran,Ali Akbar  Velayati,IRN,,BUG,BUG
General debate,A_48_PV.14_E, 1993-10-04 ,Al-Shara',Syrian Arab Republic,Farouk  Al-Shara',SYR,,BUG,BUG
General debate,A_48_PV.14_E, 1993-10-04 ,Al-Nuaimi,United Arab Emirates,Rashid Abdullah  Al-Nuaimi,ARE,,BUG,BUG
General debate,A_48_PV.14_E, 1993-10-04 ,Robaina Gonzalez,Cuba,Roberto  Robaina Gonzalez,CUB,,BUG,BUG
General debate,A_48_PV.14_E, 1993-10-04 ,NDADAYE,Burundi,MELCHIOR.  NDADAYE,BDI,,BUG,BUG
General debate,A_48_PV.15_E, 1993-10-04 ,Ibañez Fajardo,Cuba,Dario  Ibañez Fajardo,CUB,,BUG,BUG
General debate,A_48_PV.15_E, 1993-10-04 ,Samhan,United Arab Emirates,Mohammed Jasim  Samhan,ARE,,BUG,BUG
