,Unnamed: 0,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3767,3767,General debate,A_66_PV.11_E, 2011-09-21 ,Al-Thani,Qatar,Sheikh Hamad bin Khalifa  Al-Thani,QAT,Amir of the State of Qatar 
3746,3746,General debate,A_66_PV.12_E, 2011-09-21 ,Berzins,Latvia,Indulis  Berzins,LVA,President of the Republic of Latvia 
3747,3747,General debate,A_66_PV.12_E, 2011-09-21 ,Zuma,South Africa,Jacob  Zuma,ZAF,President of the Republic of South Africa 
3748,3748,General debate,A_66_PV.12_E, 2011-09-21 ,Tsakhia,Mongolia,Elbegdorj  Tsakhia,MNG,President of Mongolia 
3749,3749,General debate,A_66_PV.12_E, 2011-09-21 ,Jagdeo,Guyana,Bharrat  Jagdeo,GUY,President of the Republic of Guyana 
3750,3750,General debate,A_66_PV.12_E, 2011-09-21 ,Komsic,Bosnia and Herzegovina,Zeljko  Komsic,BIH,Chair of the Presidency of Bosnia and Herzegovina 
3751,3751,General debate,A_66_PV.12_E, 2011-09-21 ,Kagame,Rwanda,Paul  Kagame,RWA,President of the Republic of Rwanda 
3752,3752,General debate,A_66_PV.12_E, 2011-09-21 ,Méndez,Paraguay,Fernando Lugo  Méndez,PRY,President of the Republic of Paraguay 
3753,3753,General debate,A_66_PV.12_E, 2011-09-21 ,Yanukovych,Ukraine,Viktor   Yanukovych,UKR,President of Ukraine 
3754,3754,General debate,A_66_PV.12_E, 2011-09-21 ,Lobo Sosa,Honduras,Porfirio  Lobo Sosa,HND,President of the Republic of Honduras 
3741,3741,General debate,A_66_PV.13_E, 2011-09-21 ,Türk,Slovenia,Danilo  Türk,SVN,President of the Republic of Slovenia 
3742,3742,General debate,A_66_PV.13_E, 2011-09-21 ,Morales Ayma,Bolivia,Evo  Morales Ayma,BOL,Constitutional President of the Plurinational State of Bolivia 
3743,3743,General debate,A_66_PV.13_E, 2011-09-21 ,Guebuza,Mozambique,Armando Emílio  Guebuza,MOZ,President of the Republic of Mozambique 
3744,3744,General debate,A_66_PV.13_E, 2011-09-21 ,Wade,Senegal,Abdoulaye  Wade,SEN,President of the Republic of Senegal 
3745,3745,General debate,A_66_PV.13_E, 2011-09-21 ,Colom Caballeros,Guatemala,Álvaro  Colom Caballeros,GTM,President of the Republic of Guatemala 
3730,3730,General debate,A_66_PV.15_E, 2011-09-22 ,Erdogan,Turkey,Recep Tayyip  Erdogan,TUR,Prime Minister of the Republic of Turkey 
3731,3731,General debate,A_66_PV.15_E, 2011-09-22 ,Rompuy,European Council,Herman van  Rompuy,European Council,President of the European Council 
3732,3732,General debate,A_66_PV.15_E, 2011-09-22 ,Cameron,United Kingdom,David  Cameron,GBR,Prime Minister
3733,3733,General debate,A_66_PV.15_E, 2011-09-22 ,Al-Sabah,Kuwait,Nasser Al-Mohammad Al-Ahmad  Al-Sabah,KWT,Prime Minister of the State of Kuwait 
3734,3734,General debate,A_66_PV.15_E, 2011-09-22 ,Otunbayeva,Kyrgyzstan,Roza  Otunbayeva,KGZ,President of the Kyrgyz Republic 
3735,3735,General debate,A_66_PV.15_E, 2011-09-22 ,Ahmadinejad,Iran,Mahmoud  Ahmadinejad,IRN,President of the Islamic Republic of Iran 
3736,3736,General debate,A_66_PV.15_E, 2011-09-22 ,Piñera Echeñique,Chile,Sebastián  Piñera Echeñique,CHL,President of the Republic of Chile 
3737,3737,General debate,A_66_PV.15_E, 2011-09-22 ,Ouattara,Côte d'Ivoire,Alassane Dramane  Ouattara,Côte d'Ivoire,President of the Republic of Cote dIvoire 
3738,3738,General debate,A_66_PV.15_E, 2011-09-22 ,Al Khalifa,Bahrain,King of Bahrain   Hamad bin Isa Al Khalifa,BHR,King of the Kingdom of Bahrain 
3739,3739,General debate,A_66_PV.15_E, 2011-09-22 ,Kikwete,United Republic of Tanzania,Jakaya  Kikwete,TZA,President of the United Republic of Tanzania 
3740,3740,General debate,A_66_PV.15_E, 2011-09-22 ,Christofias,Cyprus,Dimitris  Christofias,CYP,President of the Republic of Cyprus 
3716,3716,General debate,A_66_PV.16_E, 2011-09-22 ,Chinchilla Miranda,Costa Rica,Laura  Chinchilla Miranda,CRI,President of the Republic of Costa Rica 
3717,3717,General debate,A_66_PV.16_E, 2011-09-22 ,Josipovic,Croatia,Ivo  Josipovic,HRV,President of the Republic of Croatia 
3718,3718,General debate,A_66_PV.16_E, 2011-09-22 ,Déby Itno,Chad,Idriss   Déby Itno,TCD,President of the Republic of Chad 
3719,3719,General debate,A_66_PV.16_E, 2011-09-22 ,Toribiong,Palau,Johnson  Toribiong,PLW,President of the Republic of Palau 
3720,3720,General debate,A_66_PV.16_E, 2011-09-22 ,Kabila Kabange,Democratic Republic of the Congo,Joseph  Kabila Kabange,COD,President of the Democratic Republic of the Congo 
3721,3721,General debate,A_66_PV.16_E, 2011-09-22 ,Bongo Ondimba,Gabon,Ali  Bongo Ondimba,GAB,President of the Gabonese Republic 
3722,3722,General debate,A_66_PV.16_E, 2011-09-22 ,Bouterse,Suriname,Desiré Delano  Bouterse,SUR,President of the Republic of Suriname 
3723,3723,General debate,A_66_PV.16_E, 2011-09-22 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe 
3724,3724,General debate,A_66_PV.16_E, 2011-09-22 ,Grybauskaite,Lithuania,Dalia  Grybauskaite,LTU,President of the Republic of Lithuania 
3725,3725,General debate,A_66_PV.16_E, 2011-09-22 ,Humala Tasso,Peru,Ollanta  Humala Tasso,PER,President of the Republic of Peru 
3726,3726,General debate,A_66_PV.16_E, 2011-09-22 ,Fernández,Dominican Republic,Leonel  Fernández,DOM,President of the Dominican Republic 
3727,3727,General debate,A_66_PV.16_E, 2011-09-22 ,Saakashvili,Georgia,Mikheil  Saakashvili,GEO,President of Georgia 
3728,3728,General debate,A_66_PV.16_E, 2011-09-22 ,Kibaki,Kenya,Mwai  Kibaki,KEN,President of the Republic of Kenya 
3729,3729,General debate,A_66_PV.16_E, 2011-09-22 ,Komorowski,Poland,Bronislaw  Komorowski,POL,President of the Republic of Poland 
3714,3714,General debate,A_66_PV.18_E, 2011-09-22 ,Rassoul,Afghanistan,Zalmai   Rassoul,AFG,Minister 5 for Foreign Affairs of the Islamic Republic of Afghanistan. Mr. Rassoul (Afghanistan): I am honoured to be here to read the statement of my President
3715,3715,General debate,A_66_PV.18_E, 2011-09-22 ,Rudd,Australia,Kevin   Rudd,AUS,Minister for Foreign Affairs of Australia. Mr. Rudd (Australia): Since we last gathered in this great Assembly one year ago
3699,3699,General debate,A_66_PV.19_E, 2011-09-23 ,Reinfeldt,Sweden,Fredrik  Reinfeldt,SWE,Prime Minister of the Kingdom of Sweden 
3700,3700,General debate,A_66_PV.19_E, 2011-09-23 ,Berdymukhammedov,Turkmenistan,Gurbanguly  Berdymukhammedov,TKM,President of Turkmenistan 
3701,3701,General debate,A_66_PV.19_E, 2011-09-23 ,Netanyahu,Israel,Binyamin  Netanyahu,ISR,Prime Minister of the State of Israel 
3702,3702,General debate,A_66_PV.19_E, 2011-09-23 ,Thinley,Bhutan,Jigmi  Thinley,BTN,Prime Minister of the Kingdom of Bhutan 
3703,3703,General debate,A_66_PV.19_E, 2011-09-23 ,Noda,Japan,Yoshihiko  Noda,JPN,Prime Minister of Japan 
3704,3704,General debate,A_66_PV.19_E, 2011-09-23 ,Abbas,Palestinian Authority,Mahmoud  Abbas,PSE,Chairman of the Executive Committee of the Palestine Liberation Organization and President of the Palestinian Authority 
3705,3705,General debate,A_66_PV.19_E, 2011-09-23 ,Sargsyan,Armenia,Serzh  Sargsyan,ARM,President of the Republic of Armenia 
3706,3706,General debate,A_66_PV.19_E, 2011-09-23 ,Kiir Mayardit,South Sudan,Slava  Kiir Mayardit,SSD,
3707,3707,General debate,A_66_PV.19_E, 2011-09-23 ,Pohamba,Namibia,Hifikepunye  Pohamba,NAM,President of the Republic of Namibia 
3708,3708,General debate,A_66_PV.19_E, 2011-09-23 ,Guelleh,Djibouti,Ismaël Omar  Guelleh,DJI,President and Head of Government of the Republic of Djibouti 
3709,3709,General debate,A_66_PV.19_E, 2011-09-23 ,Rajapaksa,Sri Lanka,Mahinda  Rajapaksa,LKA,President of the Democratic Socialist Republic of Sri Lanka 
3710,3710,General debate,A_66_PV.19_E, 2011-09-23 ,Funes Cartagena,El Salvador,Carlos Mauricio  Funes Cartagena,SLV,President of the Republic of El Salvador 
3711,3711,General debate,A_66_PV.19_E, 2011-09-23 ,Klaus,Czech Republic,Václav  Klaus,CZE,President of the Czech Republic 
3712,3712,General debate,A_66_PV.19_E, 2011-09-23 ,Talabani,Iraq,Jalal  Talabani,IRQ,President of the Republic of Iraq 
3713,3713,General debate,A_66_PV.19_E, 2011-09-23 ,Mills,Ghana,John Evans Atta  Mills,GHA,President of the Republic of Ghana 
3686,3686,General debate,A_66_PV.20_E, 2011-09-23 ,Martelly,Haiti,Michel Joseph  Martelly,HTI,President of the Republic of Haiti 
3687,3687,General debate,A_66_PV.20_E, 2011-09-23 ,Nkurunziza,Burundi,Pierre  Nkurunziza,BDI,President of the Republic of Burundi 
3688,3688,General debate,A_66_PV.20_E, 2011-09-23 ,Mori,Micronesia,Emanuel  Mori,FSM,President and Head of Government of the Federated States of Micronesia 
3689,3689,General debate,A_66_PV.20_E, 2011-09-23 ,Issoufou,Niger,Mahamadou  Issoufou,NER,President of the Republic of the Niger 
3690,3690,General debate,A_66_PV.20_E, 2011-09-23 ,Dhoinine,Comoros,Ikililou  Dhoinine,COM,President of the Union of the Comoros 
3691,3691,General debate,A_66_PV.20_E, 2011-09-23 ,Tong,Kiribati,Anote  Tong,KIR,Tuvalu
3692,3692,General debate,A_66_PV.20_E, 2011-09-23 ,Rajoelina,Madagascar,Andry Nirina  Rajoelina,MDG,President of the High Transitional Authority of the Republic of Madagascar 
3694,3694,General debate,A_66_PV.20_E, 2011-09-23 ,Stephen,Nauru,Marcus   Stephen,NRU,President of the Republic of Nauru 
3695,3695,General debate,A_66_PV.20_E, 2011-09-23 ,Afwerki,Eritrea,Isaias  Afwerki,ERI,President of the State of Eritrea 
3696,3696,General debate,A_66_PV.20_E, 2011-09-23 ,Condé,Guinea,Alpha  Condé,GIN,President of the Republic of Guinea 
3697,3697,General debate,A_66_PV.20_E, 2011-09-23 ,Tadic,Serbia,Boris  Tadic,SRB,President of the Republic of Serbia 
3698,3698,General debate,A_66_PV.20_E, 2011-09-23 ,Koroma,Sierra Leone,Ernest Bai   Koroma,SLE,President of the Republic of Sierra Leone 
3679,3679,General debate,A_66_PV.21_E, 2011-09-23 ,Mosisili,Lesotho,Pakalitha Bethuel  Mosisili,LSO,
3680,3680,General debate,A_66_PV.21_E, 2011-09-23 ,Mladenov,Bulgaria,Nickolay  Mladenov,BGR,Minister for Foreign Affairs of Bulgaria. Mr. Mladenov (Bulgaria): Let me begin by praising His Excellency Mr. Nassir Abdelaziz Al-Nasser for his steady stewardship as the President of the sixty-sixth session of the General Assembly. In his work he can count on the constructive engagement of the Bulgarian delegation. Allow me also personally to praise him for the theme he has chosen for this session. I also take this opportunity to pay tribute to his predecessor
3681,3681,General debate,A_66_PV.21_E, 2011-09-23 ,Lambrinidis,Greece,Stavros  Lambrinidis,GRC,Minister for Foreign Affairs of the Hellenic Republic. Mr. Lambrinidis (Greece) (spoke in French): I should like to thank the outgoing President of the sixty-fifth session of the General Assembly
3682,3682,General debate,A_66_PV.21_E, 2011-09-23 ,Gusmao,Timor-Leste,José Xanana  Gusmao,TLS,Prime Minister of the Democratic Republic of Timor-Leste 
3683,3683,General debate,A_66_PV.21_E, 2011-09-23 ,Thomas,Grenada,Tillman   Thomas,GRD,Prime Minister and Minister of National Security
3684,3684,General debate,A_66_PV.21_E, 2011-09-23 ,Dlamini,Swaziland,Barnabas Sibusiso  Dlamini,SWZ,Prime Minister of the Kingdom of Swaziland 
3685,3685,General debate,A_66_PV.21_E, 2011-09-23 ,Sidibé,Mali,Cissé Mariam  Kaïdama   Sidibé,MLI,Prime Minister of the Republic of Mali 
3693,3693,General debate,A_66_PV.21_E, 2011-09-23 ,Bainimarama,Fiji,Josaia V.  Bainimarama,FJI,Prime Minister of the Republic of Fiji and Commander of the Fiji Military Forces 
3645,3645,General debate,A_66_PV.22_E, 2011-09-24 ,Amr,Egypt,Mohamed Kamel Ali  Amr,EGY,Minister for Foreign Affairs of Egypt
3653,3653,General debate,A_66_PV.22_E, 2011-09-24 ,Coelho,Portugal,Pedro Passos  Coelho,PRT,Prime Minister of the Republic of Portugal 
3654,3654,General debate,A_66_PV.22_E, 2011-09-24 ,Amr,Coordinating Bureau of the Non-Aligned Countries,Mohamed Kamel Ali  Amr,Coordinating Bureau of the Non-Aligned Countries,Minister for Foreign Affairs of Egypt
3655,3655,General debate,A_66_PV.22_E, 2011-09-24 ,Gonzi,Malta,Lawrence  Gonzi,MLT,Prime Minister of the Republic of Malta 
3656,3656,General debate,A_66_PV.22_E, 2011-09-24 ,Jibril,Transitional National Council ,Mahmoud  Jibril,Transitional National Council ,Chairman of the National Transitional Council Executive Office of Libya 
3657,3657,General debate,A_66_PV.22_E, 2011-09-24 ,Stuart,Barbados,Freundel  Stuart,BRB,Prime Minister and Minister for National Security of Barbados 
3658,3658,General debate,A_66_PV.22_E, 2011-09-24 ,Hasina,Bangladesh,Sheikh  Hasina,BGD,Prime Minister of the Peoples Republic of Bangladesh 
3659,3659,General debate,A_66_PV.22_E, 2011-09-24 ,Gruevski,The former Yugoslav Republic of Macedonia,Nikola  Gruevski,The former Yugoslav Republic of Macedonia,Prime Minister of the former Yugoslav Republic of Macedonia 
3660,3660,General debate,A_66_PV.22_E, 2011-09-24 ,Spencer,Antigua and Barbuda,Winston Baldwin  Spencer,ATG,Prime Minister and Minister for Foreign Affairs of Antigua and Barbuda 
3661,3661,General debate,A_66_PV.22_E, 2011-09-24 ,Berisha,Albania,Sali  Berisha,ALB,Prime Minister of the Republic of Albania 
3662,3662,General debate,A_66_PV.22_E, 2011-09-24 ,Ramgoolam,Mauritius,Navinchandra  Ramgoolam,MUS,Prime Minister
3663,3663,General debate,A_66_PV.22_E, 2011-09-24 ,Bhattarai,Nepal,Baburam  Bhattarai,NPL,Prime Minister of the Federal Democratic Republic of Nepal 
3664,3664,General debate,A_66_PV.22_E, 2011-09-24 ,Gonsalves,Saint Vincent and the Grenadines,Ralph  Gonsalves,VCT,Prime Minister of Saint Vincent and the Grenadines 
3665,3665,General debate,A_66_PV.22_E, 2011-09-24 ,Telavi,Tuvalu,Willy  Telavi,TUV,Prime Minister of the Republic of Tuvalu 
3666,3666,General debate,A_66_PV.22_E, 2011-09-24 ,Gomes Júnior,Guinea-Bissau,Carlos  Gomes Júnior,GNB,Prime Minister of the Republic of Guinea-Bissau 
3667,3667,General debate,A_66_PV.22_E, 2011-09-24 ,Singh,India,Manmohan  Singh,IND,Prime Minister of the Republic of India 
3668,3668,General debate,A_66_PV.22_E, 2011-09-24 ,Radicova,Slovakia,Iveta  Radicova,SVK,Prime Minister of the Slovak Republic 
3669,3669,General debate,A_66_PV.22_E, 2011-09-24 ,Luksic,Montenegro,Igor  Luksic,MNE,Prime Minister of Montenegro 
3670,3670,General debate,A_66_PV.23_E, 2011-09-24 ,Spindelegger,Austria,Michael  Spindelegger,AUT,Vice-Chancellor and Federal Minister for European and International Affairs of the Republic of Austria
3671,3671,General debate,A_66_PV.23_E, 2011-09-24 ,Tu'ivakano of Nukunuku,Tonga,Lord  Tu'ivakano of Nukunuku,TON,room U-506. Corrections will be issued after the end of the session in a consolidated corrigendum. (E) *1151372* President: Mr. Al-Nasser . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . (Qatar) 
3672,3672,General debate,A_66_PV.23_E, 2011-09-24 ,Houngbo,Togo,Gilbert Fossoun   Houngbo,TGO,Prime Minister of the Togolese Republic 
3673,3673,General debate,A_66_PV.23_E, 2011-09-24 ,Ali,Somalia,Abdiweli Mohamed  Ali,SOM,Prime Minister of the Transitional Federal Government of the Somali Republic 
3674,3674,General debate,A_66_PV.23_E, 2011-09-24 ,Philip,Solomon Islands,Danny  Philip,SLB,Prime Minister of Solomon Islands 
3675,3675,General debate,A_66_PV.23_E, 2011-09-24 ,Kilman,Vanuatu,Sato  Kilman,VUT,Prime Minister of the Republic of Vanuatu 
3676,3676,General debate,A_66_PV.23_E, 2011-09-24 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister and Minister for Foreign Affairs and Trade of the Independent State of Samoa 
3677,3677,General debate,A_66_PV.23_E, 2011-09-24 ,O'Neill,Papua New Guinea,Peter  O'Neill,PNG,Prime Minister of Papua New Guinea 
3678,3678,General debate,A_66_PV.23_E, 2011-09-24 ,Neves,Cape Verde,José Maria Pereira  Neves,CPV,Prime Minister and Minister of Reform of the Republic of Cape Verde 
3646,3646,General debate,A_66_PV.24_E, 2011-09-24 ,Starcevic,Serbia,Feodor  Starcevic,SRB,
3647,3647,General debate,A_66_PV.24_E, 2011-09-24 ,Eyebe Ayissi,Cameroon,Henri  Eyebe Ayissi,CMR,Minister for Foreign Affairs of the Republic of Cameroon. Mr. Eyebe Ayissi (Cameroon) (spoke in French): First
3648,3648,General debate,A_66_PV.24_E, 2011-09-24 ,Jiménez García-Herrera,Spain,Trinidad  Jiménez García-Herrera,ESP,Minister for Foreign Affairs and Cooperation of the Kingdom of Spain. Ms. Jimenez (Spain) (spoke in Spanish): I begin by congratulating the President on his election to preside over this principal organ in which we all strive to achieve the purposes of the United Nations. I also wish the Secretary-General
3649,3649,General debate,A_66_PV.24_E, 2011-09-24 ,Frattini,Italy,Franco  Frattini,ITA,Minister for Foreign Affairs of the Republic of Italy. Mr. Frattini (Italy): Italy has a long tradition of mediation that has shaped our history and our approach to international affairs. In the celebrations of the 150th anniversary of Italian unification this year
3650,3650,General debate,A_66_PV.24_E, 2011-09-24 ,Condor,Saint Kitts and Nevis,Sam  Condor,KNA,Deputy Prime Minister and Minister for Foreign Affairs of Saint Kitts and Nevis. Mr. Condor (Saint Kitts and Nevis): I wish
3651,3651,General debate,A_66_PV.24_E, 2011-09-24 ,Vanackere,Belgium,Steven  Vanackere,BEL,Deputy Prime Minister and Minister for Foreign Affairs and Institutional Reform of the Kingdom of Belgium. Mr. Vanackere (Belgium): Twelve months ago
3652,3652,General debate,A_66_PV.24_E, 2011-09-24 ,Asselborn,Luxembourg,Jean  Asselborn,LUX,Deputy Prime Minister and Minister for Foreign Affairs of the Grand Duchy of Luxembourg. Mr. Asselborn (Luxembourg) (spoke in French): Luxembourg is very pleased that the President of the European Council
3629,3629,General debate,A_66_PV.25_E, 2011-09-26 ,Abdullah,Oman,Yousef bin al-Alawi bin  Abdullah,OMN,
3630,3630,General debate,A_66_PV.25_E, 2011-09-26 ,Westerwelle,Germany,Guido  Westerwelle,DEU,Vice-Chancellor and Minister for Foreign Affairs of Germany. Mr. Westerwelle (Germany) (spoke in German; English text provided by the delegation): Seldom has peoples yearning for freedom
3631,3631,General debate,A_66_PV.25_E, 2011-09-26 ,Fassi Fihri,Morocco,Taïb  Fassi Fihri,MAR,Minister for Foreign Affairs and Cooperation of the Kingdom of Morocco. Mr. Fassi Fihri (Morocco) (spoke in Arabic): It is a great pleasure for me to extend to Mr. Al-Nasser my sincere congratulations on his election as President of the General Assembly at its sixty-sixth session. His election reflects the esteem enjoyed by the brotherly State of Qatar and the Arab world as a whole. We are 45 confident that his rich diplomatic experience will ensure a successful session. I also take this opportunity to pay tribute to his predecessor
3632,3632,General debate,A_66_PV.25_E, 2011-09-26 ,Yang,China,Jiechi  Yang,CHN,Minister for Foreign Affairs of the Peoples Republic of China. 41 Mr. Yang Jiechi (China) (spoke in Chinese): I wish to begin by congratulating Mr. Nassir Abdulaziz Al-Nasser on having assumed the presidency of the General Assembly at its current session. I am confident that
3633,3633,General debate,A_66_PV.25_E, 2011-09-26 ,Sisoulith,Lao People's Democratic Republic,Thongloun  Sisoulith,LAO,Deputy Primer Minister and Minister for Foreign Affairs and Trade of the Lao Peoples Democratic Republic. Mr. Sisoulith (spoke in Lao; English interpretation provided by the delegation): 
3634,3634,General debate,A_66_PV.25_E, 2011-09-26 ,Desalegn,Ethiopia,Hailemariam  Desalegn,ETH,Deputy Prime Minister and Minister for Foreign Affairs of the Federal Democratic Republic of Ethiopia. Mr. Desalegn (Ethiopia): It gives me great pleasure to congratulate the President on his election to lead the General Assembly at its sixty-sixth session. I wish to assure him of the full cooperation of my delegation in successfully discharging his high responsibilities. I would also like to express our appreciation to his predecessor for his excellent stewardship of the Assemblys previous session. And allow me to take this opportunity to once again congratulate Secretary-General Ban Ki-moon on his reappointment to a second term
3635,3635,General debate,A_66_PV.25_E, 2011-09-26 ,Symonette,Bahamas,T. Brent  Symonette,BHS,Deputy Prime Minister and Minister for Foreign Affairs of the Commonwealth of the Bahamas. Mr. Symonette (Bahamas): On behalf of the people and the Government of the Commonwealth of the Bahamas
3636,3636,General debate,A_66_PV.25_E, 2011-09-26 ,Baugh,Jamaica,Kenneth  Baugh,JAM,Deputy Primer Minister and Minister for Foreign Affairs and Trade of Jamaica. Mr. Baugh (Jamaica): I would like to congratulate the President on his assumption of the presidency of the General Assembly at its sixty-sixth session. We are confident that his extensive diplomatic experience will inform his leadership at this session. I assure him of my delegations full support. During the sixty-fifth session of the General Assembly
3637,3637,General debate,A_66_PV.25_E, 2011-09-26 ,Gilmore,Ireland,Eamon  Gilmore,IRL,Deputy Prime Minister and Minister for Foreign Affairs and Trade of Ireland. Mr. Gilmore (Ireland): We are living in times of breathtaking change. Much of it is good change: scientific and technological progress making real advances for humankind
3638,3638,General debate,A_66_PV.25_E, 2011-09-26 ,Hor,Cambodia,Namhong  Hor,KHM,Deputy Prime Minister and Minister for Foreign Affairs and International Cooperation of the Kingdom of Cambodia. Mr. Hor (Cambodia): At the outset
3639,3639,General debate,A_66_PV.25_E, 2011-09-26 ,Ssekandi,Uganda,Edward Kiwanuka  Ssekandi,UGA,Vice-President of the Republic of Uganda 
3640,3640,General debate,A_66_PV.25_E, 2011-09-26 ,Boakai,Liberia,Joseph Nyumah  Boakai,LBR,Vice-President of the Republic of Liberia 
3641,3641,General debate,A_66_PV.25_E, 2011-09-26 ,Njie-Saidy,Gambia,Aja Isatou  Njie-Saidy,GMB,Vice-President of the Republic of the Gambia 
3642,3642,General debate,A_66_PV.25_E, 2011-09-26 ,Waheed,Maldives,Mohamed  Waheed,MDV,Vice-President of the Republic of Maldives 
3643,3643,General debate,A_66_PV.25_E, 2011-09-26 ,Astori,Uruguay,Danilo  Astori,URY,Vice-President of the Eastern Republic of Uruguay 
3644,3644,General debate,A_66_PV.25_E, 2011-09-26 ,Merafhe,Botswana,Mompati S.  Merafhe,BWA,Vice-President of the Republic of Botswana 
3620,3620,General debate,A_66_PV.26_E, 2011-09-26 ,Baird,Canada,John  Baird,CAN,Minister for Foreign Affairs of Canada. Mr. Baird (Canada): Nearly 66 years ago
3621,3621,General debate,A_66_PV.26_E, 2011-09-26 ,Rosenthal,Netherlands,Uriel  Rosenthal,NLD,Minister for Foreign Affairs of the Kingdom of the Netherlands. Mr. Rosenthal (Netherlands): In May I visited Tunisia
3622,3622,General debate,A_66_PV.26_E, 2011-09-26 ,Rodríguez Parrilla,Cuba,Bruno  Rodríguez Parrilla,CUB,Minister for Foreign Affairs of the Republic of Cuba. Mr. Rodriguez Parrilla (Cuba) (spoke in Spanish): I am pleased to welcome the Government of South Sudan as a State Member of the United Nations. I also join the appeal by all African leaders for an urgent
3623,3623,General debate,A_66_PV.26_E, 2011-09-26 ,Badia,Monaco,José  Badia,MCO,Government Councillor for External Relations and for International Economic and Financial Affairs of the Principality of Monaco. Mr. Badia (Monaco) (spoke in French): Allow me at the outset to warmly congratulate Mr. Al-Nasser on his election as President of the General Assembly and to assure him of the support of my delegation throughout the sixty-sixth session of the Assembly. 
3624,3624,General debate,A_66_PV.26_E, 2011-09-26 ,Zarifi,Tajikistan,Hamrokhon  Zarifi,TJK,Minister for Foreign Affairs of the Republic of Tajikistan. Mr. Zarifi (Tajikistan) (spoke in Russian): Allow me to congratulate His Excellency Mr. Nassir Abdulaziz Al-Nasser on his assumption of the post of President of the General Assembly at its sixty-sixth session. I have every confidence that his wealth of experience will contribute to the achievement of important results in our collective work. I would also like to congratulate His Excellency Mr. Ban Ki-moon on his reappointment as Secretary-General. Two weeks ago the people of Tajikistan celebrated a solemn event in their modern history — the twentieth anniversary of independence for the Republic of Tajikistan. Despite numerous difficulties and challenges
3625,3625,General debate,A_66_PV.26_E, 2011-09-26 ,Al Nahyan,United Arab Emirates,Abdullah bin Zayed  Al Nahyan,ARE,Secretary of State for Foreign and Commonwealth Affairs of the United Arab Emirates. Sheikh Abdullah Bin Zayed Al Nahyan (United Arab Emirates) (spoke in Arabic): It is my pleasure to take this opportunity to congratulate the President of this session
3626,3626,General debate,A_66_PV.26_E, 2011-09-26 ,Medelci,Algeria,Mourad  Medelci,DZA,Minister for Foreign Affairs of the Peoples Democratic Republic of Algeria. Mr. Medelci (Algeria) (spoke in Arabic): His Excellency Mr. Abdelaziz Bouteflika
3627,3627,General debate,A_66_PV.26_E, 2011-09-26 ,Skarphedinsson,Iceland,Ossur  Skarphedinsson,ISL,Minister for Foreign Affairs and External Trade of the Republic of Iceland. Mr. Skarpheðinsson (Iceland): Let me start by congratulating His Excellency Ambassador Nassir Abdulaziz Al-Nasser on his election as President of the sixty-sixth session of the General Assembly
